table,column,classification,approved,approved_by,approved_date,note
animals.parquet,calf_start,derived,,,,
animals.parquet,category_name,derived,,,,
animals.parquet,cow_start,derived,,,,
animals.parquet,days_active_after_exit,derived,,,,
animals.parquet,donor_start,derived,,,,
animals.parquet,entry_date,derived,,,,
animals.parquet,exit_date,derived,,,,
animals.parquet,exit_reason,derived,,,,
animals.parquet,exit_reason_group,derived,,,,
animals.parquet,first_calving_date,derived,,,,
animals.parquet,first_movement_date,derived,,,,
animals.parquet,first_preg_check,derived,,,,
animals.parquet,first_service_date,derived,,,,
animals.parquet,first_sire_use_date,derived,,,,
animals.parquet,group_names,derived,,,,
animals.parquet,growing_start,derived,,,,
animals.parquet,inactivated_date,invented,,,,No CattleMax field. Built from last_activity and named like a fact. Not approved.
animals.parquet,last_activity_date,derived,,,,
animals.parquet,last_service_date,derived,,,,
animals.parquet,n_calves,derived,,,,
animals.parquet,phase_now,derived,,,,
animals.parquet,recipient_start,derived,,,,
animals.parquet,sale_ticket_date,derived,,,,
animals.parquet,sire_start,derived,,,,
bulls.parquet,adj_ww,derived,,,,
bulls.parquet,adj_yw,derived,,,,
bulls.parquet,age_at_first_use_mo,derived,,,,
bulls.parquet,age_now_mo,derived,,,,
bulls.parquet,breeding_methods,derived,,,,
bulls.parquet,bse_outcome,derived,,,,
bulls.parquet,bull_role,derived,,,,
bulls.parquet,calf_start,derived,,,,
bulls.parquet,category_name,derived,,,,
bulls.parquet,cow_start,derived,,,,
bulls.parquet,days_active_after_exit,derived,,,,
bulls.parquet,donor_start,derived,,,,
bulls.parquet,entry_date,derived,,,,
bulls.parquet,ever_failed_bse,derived,,,,
bulls.parquet,ever_used_as_sire,derived,,,,
bulls.parquet,exit_date,derived,,,,
bulls.parquet,exit_reason,derived,,,,
bulls.parquet,exit_reason_group,derived,,,,
bulls.parquet,first_bse_date,derived,,,,
bulls.parquet,first_calving_date,derived,,,,
bulls.parquet,first_movement_date,derived,,,,
bulls.parquet,first_preg_check,derived,,,,
bulls.parquet,first_service_date,derived,,,,
bulls.parquet,first_sire_use,derived,,,,
bulls.parquet,first_sire_use_date,derived,,,,
bulls.parquet,group_names,derived,,,,
bulls.parquet,growing_start,derived,,,,
bulls.parquet,inactivated_date,invented,,,,No CattleMax field. Built from last_activity and named like a fact. Not approved.
